,Ranking,Total Amount,待完善,Excluded bcz citizenship/SOE/edc,Name (EN),Name (CN),Comment,Year born,Age,Sex,Ethnicity,Bio Link,Industry,Company Name,Company Name (CN),Publicly Listed? (Y/N),Company Position,Corporate HQ (Province),Corporate HQ (City),Company Link,Donor Entity Name,Donation Amount (mil ¥),Donation Month,Donation Date,Donation Origin (Province),Donation Origin (City),Donation Destination (Province),Donation Destination (City),Name of Recipient,Name of Recipient (CN),Donation for what program?,Type of Recipient,Donation Cause,Donation Vehicle,Form of Donation,Pledge? (Y/N),UID-Don't Delete,Donation Link,Donatlon Link 2,Donation Link 3,Other Donation Link(s),"Human Search (1,2,3,4)","Web Crawler (1,2,3,4)","Self-Report (1,2,3,4)","Foundation (1,2,3,4)",CFC Validated? (Y/N),Source Type,Receipt? (Y/N),Credibility,Researcher,Last Update,Web Crawler Platform,Search Term
Y,2,1144,,,Xu Jiayin,许家印,,,,,,,,,,,,,,,南京美旭房地产开发有限公司,7.5,8,3,Jiangsu,Nanjing,Guangdong,Guangzhou,Guangdong Foundation for Poverty Alleviation,广东省扶贫基金会,,Government Charitable Organization,Social Welfare & Poverty Alleviation,Corporation,Cash,N,许家印-南京美旭房地产开发有限公司-7.5-8-Guangdong Foundation for Poverty Alleviation-广东省扶贫基金会,Link,,,,,,,1st,,,,,Yingyu Li-Xueshan,1/12/2017,,
Y,2,1144,,,Xu Jiayin,许家印,,,,,,,,,,,,,,,南宁恒大城市建设有限公司,7.5,8,5,Guangxi,Nanning,Guangdong,Guangzhou,Guangdong Foundation for Poverty Alleviation,广东省扶贫基金会,,Government Charitable Organization,Social Welfare & Poverty Alleviation,Corporation,Cash,N,许家印-南宁恒大城市建设有限公司-7.5-8-Guangdong Foundation for Poverty Alleviation-广东省扶贫基金会,Link,,,,,,,1st,,,,,Yingyu Li,1/12/2017,,
Y,2,1144,,,Xu Jiayin,许家印,,,,,,,,,,,,,,,南宁恒大城市建设有限公司,7.5,8,5,Guangxi,Nanning,Guangdong,Guangzhou,Guangdong Foundation for Poverty Alleviation,广东省扶贫基金会,,Government Charitable Organization,Social Welfare & Poverty Alleviation,Corporation,Cash,N,许家印-南宁恒大城市建设有限公司-7.5-8-Guangdong Foundation for Poverty Alleviation-广东省扶贫基金会,Link,,,,,,,1st,,,,,Yingyu Li,1/12/2017,,
Y,2,1144,,,Xu Jiayin,许家印,,,,,,,,,,,,,,,南宁恒大城市建设有限公司,7.5,8,5,Guangxi,Nanning,Guangdong,Guangzhou,Guangdong Foundation for Poverty Alleviation,广东省扶贫基金会,,Government Charitable Organization,Social Welfare & Poverty Alleviation,Corporation,Cash,N,许家印-南宁恒大城市建设有限公司-7.5-8-Guangdong Foundation for Poverty Alleviation-广东省扶贫基金会,Link,,,,,,,1st,,,,,Yingyu Li,1/12/2017,,
Y,2,1144,,,Xu Jiayin,许家印,,,,,,,,,,,,,,,南宁恒大城市建设有限公司,7.5,8,5,Guangxi,Nanning,Guangdong,Guangzhou,Guangdong Foundation for Poverty Alleviation,广东省扶贫基金会,,Government Charitable Organization,Social Welfare & Poverty Alleviation,Corporation,Cash,N,许家印-南宁恒大城市建设有限公司-7.5-8-Guangdong Foundation for Poverty Alleviation-广东省扶贫基金会,Link,,,,,,,1st,,,,,Yingyu Li,1/12/2017,,
Y,2,1144,,,Xu Jiayin,许家印,,,,,,,,,,,,,,,南宁恒大城市建设有限公司,7.5,8,5,Guangxi,Nanning,Guangdong,Guangzhou,Guangdong Foundation for Poverty Alleviation,广东省扶贫基金会,,Government Charitable Organization,Social Welfare & Poverty Alleviation,Corporation,Cash,N,许家印-南宁恒大城市建设有限公司-7.5-8-Guangdong Foundation for Poverty Alleviation-广东省扶贫基金会,Link,,,,,,,1st,,,,,Yingyu Li,1/12/2017,,
Y,2,1144,,,Xu Jiayin,许家印,,,,,,,,,,,,,,,南宁恒大城市建设有限公司,7.5,8,5,Guangxi,Nanning,Guangdong,Guangzhou,Guangdong Foundation for Poverty Alleviation,广东省扶贫基金会,,Government Charitable Organization,Social Welfare & Poverty Alleviation,Corporation,Cash,N,许家印-南宁恒大城市建设有限公司-7.5-8-Guangdong Foundation for Poverty Alleviation-广东省扶贫基金会,Link,,,,,,,1st,,,,,Yingyu Li,1/12/2017,,
Y,2,1144,,,Xu Jiayin,许家印,,,,,,,,,,,,,,,南宁恒大城市建设有限公司,7.5,8,5,Guangxi,Nanning,Guangdong,Guangzhou,Guangdong Foundation for Poverty Alleviation,广东省扶贫基金会,,Government Charitable Organization,Social Welfare & Poverty Alleviation,Corporation,Cash,N,许家印-南宁恒大城市建设有限公司-7.5-8-Guangdong Foundation for Poverty Alleviation-广东省扶贫基金会,Link,,,,,,,1st,,,,,Yingyu Li,1/12/2017,,
Y,2,1144,,,Xu Jiayin,许家印,,,,,,,,,,,,,,,南宁恒大城市建设有限公司,7.5,8,5,Guangxi,Nanning,Guangdong,Guangzhou,Guangdong Foundation for Poverty Alleviation,广东省扶贫基金会,,Government Charitable Organization,Social Welfare & Poverty Alleviation,Corporation,Cash,N,许家印-南宁恒大城市建设有限公司-7.5-8-Guangdong Foundation for Poverty Alleviation-广东省扶贫基金会,Link,,,,,,,1st,,,,,Yingyu Li,1/12/2017,,
Y,2,1144,,,Xu Jiayin,许家印,,,,,,,,,,,,,,,恒大地产集团有限公司,5,7,12,Guangdong,Guangzhou,Guangdong,Guangzhou,Guangdong Foundation for Poverty Alleviation,广东省扶贫基金会,,Government Charitable Organization,Social Welfare & Poverty Alleviation,Corporation,Cash,N,许家印-恒大地产集团有限公司-5-7-Guangdong Foundation for Poverty Alleviation-广东省扶贫基金会,Link,,,,,,,1st,,,,,Yingyu Li,1/12/2017,,
Y,2,1144,,,Xu Jiayin,许家印,,,,,,,,,,,,,,,恒大地产集团有限公司,5,7,12,Guangdong,Guangzhou,Guangdong,Guangzhou,Guangdong Foundation for Poverty Alleviation,广东省扶贫基金会,,Government Charitable Organization,Social Welfare & Poverty Alleviation,Corporation,Cash,N,许家印-恒大地产集团有限公司-5-7-Guangdong Foundation for Poverty Alleviation-广东省扶贫基金会,Link,,,,,,,1st,,,,,Yingyu Li,1/12/2017,,
Y,2,1144,,,Xu Jiayin,许家印,,,,,,,,,,,,,,,恒大地产集团有限公司,5,7,12,Guangdong,Guangzhou,Guangdong,Guangzhou,Guangdong Foundation for Poverty Alleviation,广东省扶贫基金会,,Government Charitable Organization,Social Welfare & Poverty Alleviation,Corporation,Cash,N,许家印-恒大地产集团有限公司-5-7-Guangdong Foundation for Poverty Alleviation-广东省扶贫基金会,Link,,,,,,,1st,,,,,Yingyu Li,1/12/2017,,
Y,2,1144,,,Xu Jiayin,许家印,,,,,,,,,,,,,,,恒大地产集团有限公司,5,7,12,Guangdong,Guangzhou,Guangdong,Guangzhou,Guangdong Foundation for Poverty Alleviation,广东省扶贫基金会,,Government Charitable Organization,Social Welfare & Poverty Alleviation,Corporation,Cash,N,许家印-恒大地产集团有限公司-5-7-Guangdong Foundation for Poverty Alleviation-广东省扶贫基金会,Link,,,,,,,1st,,,,,Yingyu Li,1/12/2017,,
Y,2,1144,,,Xu Jiayin,许家印,,1958,58,M,Han,Link,Real Estate,Evergrande Group,恒大地产集团有限公司,Y,Founder and Chairman,Guangdong,Guangzhou,Link,恒大地产集团有限公司,4,7,12,Guangdong,Guangzhou,Guangdong,Guangzhou,Guangdong Foundation for Poverty Alleviation,广东省扶贫基金会,,Government Charitable Organization,Social Welfare & Poverty Alleviation,Corporation,Cash,N,许家印-恒大地产集团有限公司-4-7-Guangdong Foundation for Poverty Alleviation-广东省扶贫基金会,Link,,,,,,,1st,,,,,Yingyu Li,1/12/2017,,
