,Ranking,Total Amount,待完善,Excluded bcz citizenship/SOE/edc,Name (EN),Name (CN),Comment,Year born,Age,Sex,Ethnicity,Bio Link,Industry,Company Name,Company Name (CN),Publicly Listed? (Y/N),Company Position,Corporate HQ (Province),Corporate HQ (City),Company Link,Donor Entity Name,Donation Amount (mil ¥),Donation Month,Donation Date,Donation Origin (Province),Donation Origin (City),Donation Destination (Province),Donation Destination (City),Name of Recipient,Name of Recipient (CN),Donation for what program?,Type of Recipient,Donation Cause,Donation Vehicle,Form of Donation,Pledge? (Y/N),UID-Don't Delete,Donation Link,Donatlon Link 2,Donation Link 3,Other Donation Link(s),"Human Search (1,2,3,4)","Web Crawler (1,2,3,4)","Self-Report (1,2,3,4)","Foundation (1,2,3,4)",CFC Validated? (Y/N),Source Type,Receipt? (Y/N),Credibility,Researcher,Last Update,Web Crawler Platform,Search Term
Y,24,58,,,Zhang Jindong,张近东,,,,,,,,,,,,,,,苏宁控股集团有限公司,1,4,3,Jiangsu,Nanjing,Gansu,,Adream,,梦想大篷车,Non-Government Foundation,Education,Corporation,Cash,N,张近东-苏宁控股集团有限公司-1-4-Adream-,Link,,,,,,,1st,,,,,Huang YiQing,,,
Y,24,58,,,Zhang Jindong,张近东,,,,,,,,,,,,,,,苏宁控股集团有限公司,1,4,3,Jiangsu,Nanjing,Qinghai,,Adream,,梦想大篷车,Non-Government Foundation,Education,Corporation,Cash,N,张近东-苏宁控股集团有限公司-1-4-Adream-,Link,,,,,,,1st,,,,,Huang YiQing,,,
Y,24,58,,,Zhang Jindong,张近东,,,,,,,,,,,,,,,苏宁控股集团有限公司,1,4,3,Jiangsu,Nanjing,Xinjiang,,Adream,,梦想大篷车,Non-Government Foundation,Education,Corporation,Cash,N,张近东-苏宁控股集团有限公司-1-4-Adream-,Link,,,,,,,1st,,,,,Huang YiQing,,,
Y,24,58,,,Zhang Jindong,张近东,,,,,,,,,,,,,,,苏宁云商集团股份有限公司苏宁采购中心,1,8,3.25,Jiangsu,Nanjing,Hubei,,China Foundation for Poverty Alleviation,,南方水灾救援项目,Government Charitable Organization,Disaster Relief,Corporation,Cash,N,张近东-苏宁云商集团股份有限公司苏宁采购中心-1-8-China Foundation for Poverty Alleviation-,Link,,,,,,,1st,,,,,Huang YiQing,,,
Y,24,58,,,Zhang Jindong,张近东,,,,,,,,,,,,,,,苏宁云商集团股份有限公司苏宁采购中心,1,8,3.25,Jiangsu,Nanjing,Hunan,,China Foundation for Poverty Alleviation,,南方水灾救援项目,Government Charitable Organization,Disaster Relief,Corporation,Cash,N,张近东-苏宁云商集团股份有限公司苏宁采购中心-1-8-China Foundation for Poverty Alleviation-,Link,,,,,,,1st,,,,,Huang YiQing,,,
Y,24,58,,,Zhang Jindong,张近东,,,,,,,,,,,,,,,苏宁云商集团股份有限公司苏宁采购中心,1,8,3.25,Jiangsu,Nanjing,Anhui,,China Foundation for Poverty Alleviation,,南方水灾救援项目,Government Charitable Organization,Disaster Relief,Corporation,Cash,N,张近东-苏宁云商集团股份有限公司苏宁采购中心-1-8-China Foundation for Poverty Alleviation-,Link,,,,,,,1st,,,,,Huang YiQing,,,
Y,24,58,,,Zhang Jindong,张近东,,,,,,,,,,,,,,,苏宁云商集团股份有限公司苏宁采购中心,1,8,3.25,Jiangsu,Nanjing,Guizhou,,China Foundation for Poverty Alleviation,,南方水灾救援项目,Government Charitable Organization,Disaster Relief,Corporation,Cash,N,张近东-苏宁云商集团股份有限公司苏宁采购中心-1-8-China Foundation for Poverty Alleviation-,Link,,,,,,,1st,,,,,Huang YiQing,,,
Y,24,58,,,Zhang Jindong,张近东,,,,,,,,,,,,,,,苏宁云商集团股份有限公司苏宁采购中心,1,8,3.25,Jiangsu,Nanjing,Yunnan,,China Foundation for Poverty Alleviation,,南方水灾救援项目,Government Charitable Organization,Disaster Relief,Corporation,Cash,N,张近东-苏宁云商集团股份有限公司苏宁采购中心-1-8-China Foundation for Poverty Alleviation-,Link,,,,,,,1st,,,,,Huang YiQing,,,
Y,24,58,,,Zhang Jindong,张近东,,,,,,,,,,,,,,,苏宁云商集团股份有限公司苏宁采购中心,1,8,3.25,Jiangsu,Nanjing,Guangxi,,China Foundation for Poverty Alleviation,,南方水灾救援项目,Government Charitable Organization,Disaster Relief,Corporation,Cash,N,张近东-苏宁云商集团股份有限公司苏宁采购中心-1-8-China Foundation for Poverty Alleviation-,Link,,,,,,,1st,,,,,Huang YiQing,,,
Y,24,58,,,Zhang Jindong,张近东,,,,,,,,,,,,,,,苏宁云商集团股份有限公司苏宁采购中心,1,8,3.25,Jiangsu,Nanjing,Jiangxi,,China Foundation for Poverty Alleviation,,南方水灾救援项目,Government Charitable Organization,Disaster Relief,Corporation,Cash,N,张近东-苏宁云商集团股份有限公司苏宁采购中心-1-8-China Foundation for Poverty Alleviation-,Link,,,,,,,1st,,,,,Huang YiQing,,,
Y,24,58,,,Zhang Jindong,张近东,,,,,,,,,,,,,,,苏宁云商集团股份有限公司苏宁采购中心,1,8,3.25,Jiangsu,Nanjing,Chongqing,,China Foundation for Poverty Alleviation,,南方水灾救援项目,Government Charitable Organization,Disaster Relief,Corporation,Cash,N,张近东-苏宁云商集团股份有限公司苏宁采购中心-1-8-China Foundation for Poverty Alleviation-,Link,,,,,,,1st,,,,,Huang YiQing,,,
Y,24,58,,,Zhang Jindong,张近东,,,,,,,,,,,,,,,苏宁云商集团股份有限公司苏宁采购中心,1,3,30,Jiangsu,Nanjing,Beijing,Beijing,China Foundation for Poverty Alleviation,,善行者倡导项目,Government Charitable Organization,Social Welfare & Poverty Alleviation,Corporation,Cash,N,张近东-苏宁云商集团股份有限公司苏宁采购中心-1-3-China Foundation for Poverty Alleviation-,Link,,,,,,,1st,,,,,Huang YiQing,,,
Y,24,58,,,Zhang Jindong,张近东,,1963,53,M,Han,Link,Software and Internet,"Suning Commerce Group Co., Ltd.",苏宁云商集团股份有限公司,Y,Chairman,Jiangsu,Nanjing,Link,"Suning Commerce Group Co., Ltd.",0.5,12,26,Shanghai,Shanghai,Shanghai,Shanghai,Poor students,,,Individual(s),Education,Corporation,Cash,N,"张近东-Suning Commerce Group Co., Ltd.-0.5-12-Poor students-",Link1,Link2,,,1st,,,,,"One from receiver, one from third party",,Y,Zijia Guo,2016/4/13,,
Y,24,58,,,Zhang Jindong,张近东,,,,,,,,,,,,,,,苏宁云商集团股份有限公司工会委员会,0.5,3,9,Jiangsu,Nanjing,Nepal,,China Foundation for Poverty Alleviation,,尼泊尔发展援助项目,Government Charitable Organization,Social Welfare & Poverty Alleviation,Corporation,Cash,N,张近东-苏宁云商集团股份有限公司工会委员会-0.5-3-China Foundation for Poverty Alleviation-,Link,,,,2nd,,,1st,,,,,Huang YiQing,,,
Y,24,58,,,Zhang Jindong,张近东,,,,,,,,,,,,,,,苏宁云商集团股份有限公司苏宁采购中心,0.5,3,30,Jiangsu,Nanjing,Sichuan,Yaan,China Foundation for Poverty Alleviation,,电商扶贫项目,Government Charitable Organization,Social Welfare & Poverty Alleviation,Corporation,Cash,N,张近东-苏宁云商集团股份有限公司苏宁采购中心-0.5-3-China Foundation for Poverty Alleviation-,Link,,,,,,,1st,,,,,Huang YiQing,,,
Y,25,55.85,,,Ma Huateng,马化腾,,,,,,,,,,,,,,,马化腾,13870,4,19,Guangdong,Shenzhen,Guangdong,Shenzhen,Charity Foundation,,,Non-Government Foundation,Public Health,Individual,Stocks,N,马化腾-马化腾-13870-4-Charity Foundation-,Link1,Link2,,,1st,,,,,Two credible third party,,Y,Huang YiQing,2016/12/2,,
Y,25,55.85,,,Ma Huateng,马化腾,,,,,,,,,,,,,,,腾讯公益慈善基金会,13.09,1,12,Guangdong,Shenzhen,Beijing,Beijing,China Social Welfare Foundation,中国社会福利基金会,非定向,Government Charitable Organization,Unspecified,Corporate Foundation,Cash,N,马化腾-腾讯公益慈善基金会-13.09-1-China Social Welfare Foundation-中国社会福利基金会,Link,,,,,,,1st,,,,,Yingyu Li,1/12/2017,,
Y,25,55.85,,,Ma Huateng,马化腾,,,,,,,,,,,,,,,马化腾,12.6,10,17,Guangdong,Shenzhen,Beijing,Beijing,Ai You Foundation,爱佑慈善基金会,爱佑慈善夜竞拍,Non-Government Foundation,Unspecified,Individual,Cash,N,马化腾-马化腾-12.6-10-Ai You Foundation-爱佑慈善基金会,Link,,,,1st,,,,,,,,Xueshan Zhang,2017/1/9,,
Y,25,55.85,,,Ma Huateng,马化腾,,,,,,,,,,,,,,,腾讯公益慈善基金会,3.64,1,12,Guangdong,Shenzhen,Beijing,Beijing,China Charities Aid Foundation for Children,中华少年儿童慈善救助基金会,,Non-Government Foundation,Unspecified,Corporate Foundation,Cash,N,马化腾-腾讯公益慈善基金会-3.64-1-China Charities Aid Foundation for Children-中华少年儿童慈善救助基金会,link,http://www.ccafc.org.cn/templates/DonationSearch/index.aspx?nodeid=106,,,,,,1st,,,,,Xueshan Zhang,1/9/2017,,
Y,25,55.85,,,Ma Huateng,马化腾,,,,,,,,,,,,,,,腾讯公益慈善基金会,3.17,12,14,Guangdong,Shenzhen,Guangdong,Shenzhen,Shenzhen Social Commonweal Fund,深圳市社会公益基金会,99公益日配捐,Government Charitable Organization,Unspecified,Corporate Foundation,Cash,N,马化腾-腾讯公益慈善基金会-3.17-12-Shenzhen Social Commonweal Fund-深圳市社会公益基金会,Link,,,,,,,1st,,,,,Xueshan Zhang,2017/1/9,,
Y,25,55.85,,,Ma Huateng,马化腾,,,,,,,,,,,,,,,腾讯公益慈善基金会,2.29,1,12,Guangdong,Shenzhen,Beijing,Beijing,China Charities Aid Foundation for Children,中华少年儿童慈善救助基金会,,Non-Government Foundation,Unspecified,Corporate Foundation,Cash,N,马化腾-腾讯公益慈善基金会-2.29-1-China Charities Aid Foundation for Children-中华少年儿童慈善救助基金会,link,http://www.ccafc.org.cn/templates/DonationSearch/index.aspx?nodeid=106,,,,,,1st,,,,,Xueshan Zhang,1/9/2017,,
Y,25,55.85,,,Ma Huateng,马化腾,,,,,,,,,,,,,,,腾讯公益慈善基金会,2,11,4,Guangdong,Shenzhen,Beijing,Beijing,China Foundation for Development of Financial Education,中国金融教育发展基金会,中国互联网金融教育、研究和发展项目,Government Charitable Organization,Education,Corporate Foundation,Cash,N,马化腾-腾讯公益慈善基金会-2-11-China Foundation for Development of Financial Education-中国金融教育发展基金会,Link,,,,,,,1st,,,,,Xueshan Zhang,2017/1/9,,
Y,25,55.85,,,Ma Huateng,马化腾,,,,,,,,,,,,,,,腾讯公益慈善基金会,2,2,1,Guangdong,Shenzhen,Beijing,Beijing,China Foundation for Poverty Alleviation,中国扶贫基金会,人人公益项目,Government Charitable Organization,Unspecified,Corporate Foundation,Cash,N,马化腾-腾讯公益慈善基金会-2-2-China Foundation for Poverty Alleviation-中国扶贫基金会,http://www.ccafc.org.cn/templates/DonationSearch/index.aspx?nodeid=106,,,,,,,1st,,,,,Huang YiQing,,,
Y,25,55.85,,,Ma Huateng,马化腾,,,,,,,,,,,,,,,腾讯公益慈善基金会,2,3,22,Guangdong,Shenzhen,Beijing,Beijing,China Social Welfare Foundation,中国社会福利基金会,N/A,Government Charitable Organization,Unspecified,Corporate Foundation,Cash,N,马化腾-腾讯公益慈善基金会-2-3-China Social Welfare Foundation-中国社会福利基金会,Link,,,,,,,1st,,,,,Yingyu Li,1/12/2017,,
Y,25,55.85,,,Ma Huateng,马化腾,,,,,,,,,,,,,,,腾讯公益慈善基金会,2,2,1,Guangdong,Shenzhen,Beijing,Beijing,China Charities Aid Foundation for Children,中华少年儿童慈善救助基金会,,Non-Government Foundation,Unspecified,Corporate Foundation,Cash,N,马化腾-腾讯公益慈善基金会-2-2-China Charities Aid Foundation for Children-中华少年儿童慈善救助基金会,link,http://www.ccafc.org.cn/templates/DonationSearch/index.aspx?nodeid=106,,,,,,1st,,,,,Xueshan Zhang,1/9/2017,,
Y,25,55.85,,,Ma Huateng,马化腾,,,,,,,,,,,,,,,腾讯公益慈善基金会,1.49,1,12,Guangdong,Shenzhen,Beijing,Beijing,China Charities Aid Foundation for Children,中华少年儿童慈善救助基金会,,Non-Government Foundation,Unspecified,Corporate Foundation,Cash,N,马化腾-腾讯公益慈善基金会-1.49-1-China Charities Aid Foundation for Children-中华少年儿童慈善救助基金会,link,http://www.ccafc.org.cn/templates/DonationSearch/index.aspx?nodeid=106,,,,,,1st,,,,,Xueshan Zhang,1/9/2017,,
Y,25,55.85,,,Ma Huateng,马化腾,,,,,,,,,,,,,,,腾讯公益慈善基金会,1.42,1,12,Guangdong,Shenzhen,Beijing,Beijing,China Charities Aid Foundation for Children,中华少年儿童慈善救助基金会,,Non-Government Foundation,Unspecified,Corporate Foundation,Cash,N,马化腾-腾讯公益慈善基金会-1.42-1-China Charities Aid Foundation for Children-中华少年儿童慈善救助基金会,link,http://www.ccafc.org.cn/templates/DonationSearch/index.aspx?nodeid=106,,,,,,1st,,,,,Xueshan Zhang,1/9/2017,,
Y,25,55.85,,,Ma Huateng,马化腾,,,,,,,,,,,,,,,腾讯公益慈善基金会,1.12,1,12,Guangdong,Shenzhen,Beijing,Beijing,China Charities Aid Foundation for Children,中华少年儿童慈善救助基金会,,Non-Government Foundation,Unspecified,Corporate Foundation,Cash,N,马化腾-腾讯公益慈善基金会-1.12-1-China Charities Aid Foundation for Children-中华少年儿童慈善救助基金会,link,http://www.ccafc.org.cn/templates/DonationSearch/index.aspx?nodeid=106,,,,,,1st,,,,,Xueshan Zhang,1/9/2017,,
Y,25,55.85,,,Ma Huateng,马化腾,,,,,,,,,,,,,,,腾讯公益慈善基金会,1.07,1,12,Guangdong,Shenzhen,Beijing,Beijing,China Charities Aid Foundation for Children,中华少年儿童慈善救助基金会,,Non-Government Foundation,Unspecified,Corporate Foundation,Cash,N,马化腾-腾讯公益慈善基金会-1.07-1-China Charities Aid Foundation for Children-中华少年儿童慈善救助基金会,link,http://www.ccafc.org.cn/templates/DonationSearch/index.aspx?nodeid=106,,,,,,1st,,,,,Xueshan Zhang,1/9/2017,,
Y,25,55.85,,,Ma Huateng,马化腾,,,,,,,,,,,,,,,腾讯公益慈善基金会,1,9,29,Guangdong,Shenzhen,Guangdong,Shenzhen,Shenzhen Social Commonweal Fund,深圳市社会公益基金会,深圳市中国慈展会发展中心,Government Charitable Organization,Unspecified,Corporate Foundation,Cash,N,马化腾-腾讯公益慈善基金会-1-9-Shenzhen Social Commonweal Fund-深圳市社会公益基金会,Link,,,,,,,1st,,,,,Xueshan Zhang,2017/1/9,,
Y,25,55.85,,,Ma Huateng,马化腾,,,,,,,,,,,,,,,腾讯公益慈善基金会,0.99,1,12,Guangdong,Shenzhen,Beijing,Beijing,China Charities Aid Foundation for Children,中华少年儿童慈善救助基金会,,Non-Government Foundation,Unspecified,Corporate Foundation,Cash,N,马化腾-腾讯公益慈善基金会-0.99-1-China Charities Aid Foundation for Children-中华少年儿童慈善救助基金会,link,http://www.ccafc.org.cn/templates/DonationSearch/index.aspx?nodeid=106,,,,,,1st,,,,,Xueshan Zhang,1/9/2017,,
Y,25,55.85,,,Ma Huateng,马化腾,,,,,,,,,,,,,,,腾讯公益慈善基金会,0.9,3,16,Guangdong,Shenzhen,Shanghai,Shanghai,Adream,,梦想中心项目,Non-Government Foundation,Education,Corporate Foundation,Cash,N,马化腾-腾讯公益慈善基金会-0.9-3-Adream-,Link,,,,,,,1st,,,,,Huang YiQing,,,
Y,25,55.85,,,Ma Huateng,马化腾,,1971,45,M,Han,Link,Software and Internet,Tencent Holdings Limited,腾讯控股有限公司,Y,"Founder, Chairman, CEO",Guangdong,Shenzhen,Link,腾讯公益慈善基金会,0.75,8,1,Guangdong,Shenzhen,Jiangsu,Wuxi,Lingshan Charity Foundation,,,Non-Government Foundation,Culture,Corporate Foundation,Cash,N,马化腾-腾讯公益慈善基金会-0.75-8-Lingshan Charity Foundation-,Link,,,,,2nd,,1st,,,,,,,,
Y,25,55.85,,,Ma Huateng,马化腾,,,,,,,,,,,,,,,腾讯公益慈善基金会,0.69,1,12,Guangdong,Shenzhen,Beijing,Beijing,China Charities Aid Foundation for Children,中华少年儿童慈善救助基金会,,Non-Government Foundation,Unspecified,Corporate Foundation,Cash,N,马化腾-腾讯公益慈善基金会-0.69-1-China Charities Aid Foundation for Children-中华少年儿童慈善救助基金会,link,http://www.ccafc.org.cn/templates/DonationSearch/index.aspx?nodeid=106,,,,,,1st,,,,,Xueshan Zhang,1/9/2017,,
Y,25,55.85,,,Ma Huateng,马化腾,,,,,,,,,,,,,,,腾讯公益慈善基金会,0.67,1,12,Guangdong,Shenzhen,Beijing,Beijing,China Charities Aid Foundation for Children,中华少年儿童慈善救助基金会,,Non-Government Foundation,Unspecified,Corporate Foundation,Cash,N,马化腾-腾讯公益慈善基金会-0.67-1-China Charities Aid Foundation for Children-中华少年儿童慈善救助基金会,link,http://www.ccafc.org.cn/templates/DonationSearch/index.aspx?nodeid=106,,,,,,1st,,,,,Xueshan Zhang,1/9/2017,,
Y,25,55.85,,,Ma Huateng,马化腾,,,,,,,,,,,,,,,腾讯公益慈善基金会,0.5,8,5,Guangdong,Shenzhen,Beijing,Beijing,China Charities Aid Foundation for Children,中华少年儿童慈善救助基金会,,Non-Government Foundation,Unspecified,Corporate Foundation,Cash,N,马化腾-腾讯公益慈善基金会-0.5-8-China Charities Aid Foundation for Children-中华少年儿童慈善救助基金会,link,http://www.ccafc.org.cn/templates/DonationSearch/index.aspx?nodeid=106,,,,,,1st,,,,,Xueshan Zhang,1/9/2017,,
Y,25,55.85,,,Ma Huateng,马化腾,,,,,,,,,,,,,,,腾讯公益慈善基金会,0.48,1,12,Guangdong,Shenzhen,Beijing,Beijing,China Charities Aid Foundation for Children,中华少年儿童慈善救助基金会,,Non-Government Foundation,Unspecified,Corporate Foundation,Cash,N,马化腾-腾讯公益慈善基金会-0.48-1-China Charities Aid Foundation for Children-中华少年儿童慈善救助基金会,link,http://www.ccafc.org.cn/templates/DonationSearch/index.aspx?nodeid=106,,,,,,1st,,,,,Xueshan Zhang,1/9/2017,,
Y,25,55.85,,,Ma Huateng,马化腾,,,,,,,,,,,,,,,腾讯公益慈善基金会,0.35,1,12,Guangdong,Shenzhen,Beijing,Beijing,China Charities Aid Foundation for Children,中华少年儿童慈善救助基金会,,Non-Government Foundation,Unspecified,Corporate Foundation,Cash,N,马化腾-腾讯公益慈善基金会-0.35-1-China Charities Aid Foundation for Children-中华少年儿童慈善救助基金会,link,http://www.ccafc.org.cn/templates/DonationSearch/index.aspx?nodeid=106,,,,,,1st,,,,,Xueshan Zhang,1/9/2017,,
Y,25,55.85,,,Ma Huateng,马化腾,,,,,,,,,,,,,,,腾讯公益慈善基金会,0.26,1,12,Guangdong,Shenzhen,Beijing,Beijing,China Charities Aid Foundation for Children,中华少年儿童慈善救助基金会,,Non-Government Foundation,Unspecified,Corporate Foundation,Cash,N,马化腾-腾讯公益慈善基金会-0.26-1-China Charities Aid Foundation for Children-中华少年儿童慈善救助基金会,link,http://www.ccafc.org.cn/templates/DonationSearch/index.aspx?nodeid=106,,,,,,1st,,,,,Xueshan Zhang,1/9/2017,,
Y,25,55.85,,,Ma Huateng,马化腾,,,,,,,,,,,,,,,腾讯公益慈善基金会,0.25,1,12,Guangdong,Shenzhen,Beijing,Beijing,China Charities Aid Foundation for Children,中华少年儿童慈善救助基金会,,Non-Government Foundation,Unspecified,Corporate Foundation,Cash,N,马化腾-腾讯公益慈善基金会-0.25-1-China Charities Aid Foundation for Children-中华少年儿童慈善救助基金会,link,http://www.ccafc.org.cn/templates/DonationSearch/index.aspx?nodeid=106,,,,,,1st,,,,,Xueshan Zhang,1/9/2017,,
Y,25,55.85,,,Ma Huateng,马化腾,,,,,,,,,,,,,,,腾讯公益慈善基金会,0.23,1,12,Guangdong,Shenzhen,Beijing,Beijing,China Charities Aid Foundation for Children,中华少年儿童慈善救助基金会,,Non-Government Foundation,Unspecified,Corporate Foundation,Cash,N,马化腾-腾讯公益慈善基金会-0.23-1-China Charities Aid Foundation for Children-中华少年儿童慈善救助基金会,link,http://www.ccafc.org.cn/templates/DonationSearch/index.aspx?nodeid=106,,,,,,1st,,,,,Xueshan Zhang,1/9/2017,,
Y,25,55.85,,,Ma Huateng,马化腾,,,,,,,,,,,,,,,腾讯公益慈善基金会,0.2,9,24,Guangdong,Shenzhen,Beijing,Beijing,China Charities Aid Foundation for Children,中华少年儿童慈善救助基金会,,Non-Government Foundation,Unspecified,Corporate Foundation,Cash,N,马化腾-腾讯公益慈善基金会-0.2-9-China Charities Aid Foundation for Children-中华少年儿童慈善救助基金会,link,http://www.ccafc.org.cn/templates/DonationSearch/index.aspx?nodeid=106,,,,,,1st,,,,,Xueshan Zhang,1/9/2017,,
Y,25,55.85,,,Ma Huateng,马化腾,,,,,,,,,,,,,,,腾讯公益慈善基金会,0.2,1,12,Guangdong,Shenzhen,Beijing,Beijing,China Charities Aid Foundation for Children,中华少年儿童慈善救助基金会,,Non-Government Foundation,Unspecified,Corporate Foundation,Cash,N,马化腾-腾讯公益慈善基金会-0.2-1-China Charities Aid Foundation for Children-中华少年儿童慈善救助基金会,link,http://www.ccafc.org.cn/templates/DonationSearch/index.aspx?nodeid=106,,,,,,1st,,,,,Xueshan Zhang,1/9/2017,,
Y,25,55.85,,,Ma Huateng,马化腾,,,,,,,,,,,,,,,腾讯公益慈善基金会,0.17,1,12,Guangdong,Shenzhen,Beijing,Beijing,China Charities Aid Foundation for Children,中华少年儿童慈善救助基金会,,Non-Government Foundation,Unspecified,Corporate Foundation,Cash,N,马化腾-腾讯公益慈善基金会-0.17-1-China Charities Aid Foundation for Children-中华少年儿童慈善救助基金会,link,http://www.ccafc.org.cn/templates/DonationSearch/index.aspx?nodeid=106,,,,,,1st,,,,,Xueshan Zhang,1/9/2017,,
Y,25,55.85,,,Ma Huateng,马化腾,,,,,,,,,,,,,,,腾讯公益慈善基金会,0.12,1,12,Guangdong,Shenzhen,Beijing,Beijing,China Charities Aid Foundation for Children,中华少年儿童慈善救助基金会,,Non-Government Foundation,Unspecified,Corporate Foundation,Cash,N,马化腾-腾讯公益慈善基金会-0.12-1-China Charities Aid Foundation for Children-中华少年儿童慈善救助基金会,link,http://www.ccafc.org.cn/templates/DonationSearch/index.aspx?nodeid=106,,,,,,1st,,,,,Xueshan Zhang,1/9/2017,,
Y,25,55.85,,,Ma Huateng,马化腾,,,,,,,,,,,,,,,腾讯公益慈善基金会,0.1,1,12,Guangdong,Shenzhen,Beijing,Beijing,China Charities Aid Foundation for Children,中华少年儿童慈善救助基金会,,Non-Government Foundation,Unspecified,Corporate Foundation,Cash,N,马化腾-腾讯公益慈善基金会-0.1-1-China Charities Aid Foundation for Children-中华少年儿童慈善救助基金会,link,http://www.ccafc.org.cn/templates/DonationSearch/index.aspx?nodeid=106,,,,,,1st,,,,,Xueshan Zhang,1/9/2017,,
Y,25,55.85,,,Ma Huateng,马化腾,,,,,,,,,,,,,,,腾讯公益慈善基金会,0.1,1,12,Guangdong,Shenzhen,Beijing,Beijing,China Charities Aid Foundation for Children,中华少年儿童慈善救助基金会,,Non-Government Foundation,Unspecified,Corporate Foundation,Cash,N,马化腾-腾讯公益慈善基金会-0.1-1-China Charities Aid Foundation for Children-中华少年儿童慈善救助基金会,link,http://www.ccafc.org.cn/templates/DonationSearch/index.aspx?nodeid=106,,,,,,1st,,,,,Xueshan Zhang,1/9/2017,,
Y,25,55.85,,,Ma Huateng,马化腾,,,,,,,,,,,,,,,Tencent Holdings Limited,,10,15,Guangdong,Shenzhen,Guangdong,Shenzhen,China Information Accessibility Alliance,,,Government,Public Health,Corporation,Goods,N,马化腾-Tencent Holdings Limited--10-China Information Accessibility Alliance-,Link1,Link2,Link3,,,,,,,"One from receiver, others from third party",,Y,Yanhan Zhao,2016/3/1,,
Y,26,55.84,,,Chen Jiamin,陈加民,,,,,,,,,,,,,,,深圳前海中盛一点科技有限公司,24.72,6,N/A,Guangdong,Shenzhen,Beijing,Beijing,China Guanghua Foundation,中国光华科技基金会,一点公益,Government Charitable Organization,Social Welfare & Poverty Alleviation,Corporation,Cash,N,陈加民-深圳前海中盛一点科技有限公司-24.72-6-China Guanghua Foundation-中国光华科技基金会,Link,,,,,,,1st,,,,,Yingyu Li,1/12/2017,,
Y,26,55.84,,,Chen Jiamin,陈加民,,,,,,,,,,,,,,,深圳前海中盛一点科技有限公司,13.22,6,N/A,Guangdong,Shenzhen,Beijing,Beijing,China Guanghua Foundation,中国光华科技基金会,一点公益,Government Charitable Organization,Social Welfare & Poverty Alleviation,Corporation,Cash,N,陈加民-深圳前海中盛一点科技有限公司-13.22-6-China Guanghua Foundation-中国光华科技基金会,Link,,,,,,,1st,,,,,Yingyu Li,1/12/2017,,
Y,26,55.84,,,Chen Jiamin,陈加民,,,,,,,,,,,,,,,深圳前海中盛一点科技有限公司,8.79,7,N/A,Guangdong,Shenzhen,Beijing,Beijing,China Guanghua Foundation,中国光华科技基金会,一点公益,Government Charitable Organization,Social Welfare & Poverty Alleviation,Corporation,Cash,N,陈加民-深圳前海中盛一点科技有限公司-8.79-7-China Guanghua Foundation-中国光华科技基金会,Link,,,,,,,1st,,,,,Yingyu Li,1/12/2017,,
Y,26,55.84,,,Chen Jiamin,陈加民,,,,,,,,,,,,,,,深圳前海中盛一点科技有限公司,5.86,8,N/A,Guangdong,Shenzhen,Beijing,Beijing,China Guanghua Foundation,中国光华科技基金会,一点公益,Government Charitable Organization,Social Welfare & Poverty Alleviation,Corporation,Cash,N,陈加民-深圳前海中盛一点科技有限公司-5.86-8-China Guanghua Foundation-中国光华科技基金会,Link,,,,,,,1st,,,,,Yingyu Li,1/12/2017,,
Y,26,55.84,,,Chen Jiamin,陈加民,,,,M,,http://www.020wyc.com/news/201610/4429.html,Software and Internet,Zonsun Jiahong,深圳前海中盛嘉鸿集团有限公司,N,Chairman,Guangdong,Shenzhen,http://www.zsjh-china.com/aboutus.aspx?CurrentHead=0,深圳前海中盛一点科技有限公司,3.25,5,N/A,Guangdong,Shenzhen,Beijing,Beijing,China Guanghua Foundation,中国光华科技基金会,一点公益,Government Charitable Organization,Social Welfare & Poverty Alleviation,Corporation,Cash,N,陈加民-深圳前海中盛一点科技有限公司-3.25-5-China Guanghua Foundation-中国光华科技基金会,Link,,,,,,,1st,,,,,Yingyu Li,1/12/2017,,
Y,27,51,,,You Zhisheng,游志胜,,1945,71,M,,Link,Software and Internet,"Wisesoft Co., Ltd.",四川川大智胜软件股份有限公司,Y,Chairman,Sichuan,Chengdu,Link,You Zhisheng,51,9,2,Sichuan,Chengdu,Sichuan,Chengdu,Sichuan University,,,University or University Foundation,Education,Individual,Cash,N,游志胜-You Zhisheng-51-9-Sichuan University-,Link1,Link2,,,1st,,,,,Two third party sources,,"Y, credible third parties",Huang YiQing,2016/11/17,,
Y,28,50,,,Wang Weisheng,汪伟胜,,1972,44,M,Han,Link,Finance,Anhui Mingliu Investment Group,安徽名流投资集团,,Chairman,Anhui,Tongling,Link,Anhui Mingliu Investment Group,50,1,28,Anhui,Tongling,Hubei,,Hu Bei Charity Foundation,湖北慈善总会,,Government Charitable Organization,Social Welfare & Poverty Alleviation,Corporation,Cash,N,汪伟胜-Anhui Mingliu Investment Group-50-1-Hu Bei Charity Foundation-湖北慈善总会,Link1,Link2,,,1st,,,,,Two from third party,,Need to check with the receiver,Huang YiQing,2016/11/18,,
